"","Oshwe","Nioki","Mushie","Kwamouth","Bolobo","Yumbi","Ntandembelo","Banzow Moke","Inongo","Kiri","Pendjwa","Mimia","Bokoro","Bosobe"
"Oshwe",0,0.00300571130121877,0.00175281886418301,0.00117046486642209,0.000991652910124449,0.000805459430941863,0.00102975650006332,0.00149147036282207,0.0036816312688698,0.00322316680972196,0.00077115848106523,0.00170857708761153,0.0134795993570608,0.0126842416433515
"Nioki",0.00307798212480964,0,0.0220088599983193,0.00697800717091085,0.00602085194083334,0.00397662863176372,0.00561281568645342,0.00500222034506143,0.00650464471126969,0.00149930079699462,0.000584704851989844,0.000253322685667261,0.0280997195531518,0.006235135349899
"Mushie",0.00180859770953544,0.0221760226570344,0,0.00533740495333855,0.0163418347349616,0.0143729481551317,0.0278688705357051,0.00918181567945822,0.00649889573424269,0.00123622193515729,0.000577485667272606,0.000187249571370368,0.0112897584922968,0.00258413453190129
"Kwamouth",0.00124174577842112,0.00722914427739484,0.0054878158091726,0,0.00672471100885055,0.00262374375403553,0.00220947637974497,0.0014686015569631,0.00172937897578042,0.000552467199018903,0.000241327392785941,0.000116008068886037,0.00450555600272586,0.00166855017772053
"Bolobo",0.00104304378974368,0.00618417782825486,0.0166586087047485,0.00666717978512274,0,0.0233924306527794,0.00878476976258887,0.00304165523837037,0.00253994681515385,0.000656049218274027,0.000325558383889707,0.000114675813138695,0.00436438174261928,0.00128425661048196
"Yumbi",0.000876560786711745,0.00422604943971776,0.0151593049180761,0.00269144478772872,0.0242030928691229,0,0.0238243422179909,0.00438804995923292,0.00285441626483455,0.000656679895952896,0.00035154216681567,0.000103810120309404,0.00377586562125114,0.00102793253772377
"Ntandembelo",0.00112304173443235,0.00597755121462177,0.029456136513995,0.00227130996777502,0.00910854244707885,0.0238750288506529,0,0.0125161830800414,0.00533764698868367,0.000948855220610552,0.00050717171039224,0.00013253996069024,0.00579611530511775,0.00137505270408937
"Banzow Moke",0.00160559812348497,0.00525855248792028,0.00957956649467844,0.00149022518326029,0.00311307339400091,0.00434065650963148,0.0123547163056623,0,0.0220761604913653,0.00194110747198813,0.00109474208315039,0.000203646100264431,0.00940567351584714,0.00188168103968032
"Inongo",0.00368468899922224,0.00635719156934874,0.00630369481597707,0.00163145993399268,0.00241680894571943,0.00262506153155669,0.00489834129870887,0.0205239934082855,0,0.00710489606926809,0.00303445728365141,0.00047923851630076,0.0241416945213261,0.00411423700352392
"Kiri",0.00356918998784866,0.00162127552463738,0.00132671729653557,0.000576658996586199,0.000690685685240048,0.000668193485149321,0.000963441792582264,0.00199670654294485,0.00786111347458877,0,0.00449836798761129,0.000890259931621385,0.00699757390598183,0.00213109485471242
"Pendjwa",0.000959133891582073,0.000710155519213556,0.000696100378618435,0.000282922774882293,0.000384965340979963,0.000401767364225013,0.000578401306478508,0.00126480969891874,0.00377099605860144,0.00505246942662695,0,0.000231222951238899,0.00224508916638961,0.000657023870069254
"Mimia",0.00236203753013796,0.000341985324909729,0.000250881195193202,0.000151170170548979,0.000150723577254248,0.000131872288384875,0.000168010993275793,0.000261520711793988,0.000661977735289499,0.00111143011275202,0.000257008541871272,0,0.00124414039128794,0.000619456724980528
"Bokoro",0.0123718469743799,0.0251849278939379,0.0100423942965537,0.00389790847604087,0.0038083550875496,0.0031844594112693,0.00487790365481584,0.00801909264778882,0.0221393444812592,0.00579986875039793,0.00165674455353835,0.000825989885900988,0,0.0394862805761363
"Bosobe",0.0136131686834538,0.00653464163077684,0.00268784920814698,0.00168795039840218,0.00131039937676701,0.00101372688535678,0.00135317108669976,0.00187593809926667,0.00441187782173897,0.00206543064172287,0.000566944137586367,0.000480898558595626,0.0461725000742546,0
